id,ano,area
questao_02,2022,LC
questao_03,2022,LC
questao_04,2022,LC
questao_05,2022,LC
questao_06,2022,LC
questao_07,2022,LC
questao_08,2022,LC
questao_09,2022,LC
questao_10,2022,LC
questao_11,2022,LC
questao_12,2022,LC
questao_13,2022,LC
questao_14,2022,LC
questao_15,2022,LC
questao_17,2022,LC
questao_19,2022,LC
questao_21,2022,LC
questao_22,2022,LC
questao_23,2022,LC
questao_24,2022,LC
questao_25,2022,LC
questao_26,2022,LC
questao_29,2022,LC
questao_31,2022,LC
questao_32,2022,LC
questao_33,2022,LC
questao_34,2022,LC
questao_35,2022,LC
questao_36,2022,LC
questao_37,2022,LC
questao_38,2022,LC
questao_39,2022,LC
questao_40,2022,LC
questao_41,2022,LC
questao_42,2022,LC
questao_45,2022,LC
questao_46,2022,CH
questao_47,2022,CH
questao_48,2022,CH
questao_49,2022,CH
questao_50,2022,CH
questao_52,2022,CH
questao_53,2022,CH
questao_54,2022,CH
questao_56,2022,CH
questao_57,2022,CH
questao_58,2022,CH
questao_60,2022,CH
questao_61,2022,CH
questao_62,2022,CH
questao_64,2022,CH
questao_65,2022,CH
questao_66,2022,CH
questao_67,2022,CH
questao_68,2022,CH
questao_70,2022,CH
questao_71,2022,CH
questao_72,2022,CH
questao_73,2022,CH
questao_76,2022,CH
questao_77,2022,CH
questao_78,2022,CH
questao_79,2022,CH
questao_80,2022,CH
questao_81,2022,CH
questao_83,2022,CH
questao_84,2022,CH
questao_85,2022,CH
questao_86,2022,CH
questao_87,2022,CH
questao_88,2022,CH
questao_89,2022,CH
questao_91,2022,CN
questao_95,2022,CN
questao_96,2022,CN
questao_97,2022,CN
questao_98,2022,CN
questao_100,2022,CN
questao_101,2022,CN
questao_102,2022,CN
questao_103,2022,CN
questao_106,2022,CN
questao_107,2022,CN
questao_108,2022,CN
questao_109,2022,CN
questao_113,2022,CN
questao_114,2022,CN
questao_115,2022,CN
questao_116,2022,CN
questao_120,2022,CN
questao_121,2022,CN
questao_124,2022,CN
questao_125,2022,CN
questao_126,2022,CN
questao_127,2022,CN
questao_129,2022,CN
questao_130,2022,CN
questao_133,2022,CN
questao_134,2022,CN
questao_135,2022,CN
questao_138,2022,MT
questao_140,2022,MT
questao_141,2022,MT
questao_142,2022,MT
questao_143,2022,MT
questao_144,2022,MT
questao_145,2022,MT
questao_147,2022,MT
questao_149,2022,MT
questao_150,2022,MT
questao_151,2022,MT
questao_152,2022,MT
questao_153,2022,MT
questao_154,2022,MT
questao_158,2022,MT
questao_159,2022,MT
questao_160,2022,MT
questao_161,2022,MT
questao_162,2022,MT
questao_163,2022,MT
questao_164,2022,MT
questao_166,2022,MT
questao_167,2022,MT
questao_169,2022,MT
questao_170,2022,MT
questao_171,2022,MT
questao_172,2022,MT
questao_173,2022,MT
questao_174,2022,MT
questao_175,2022,MT
questao_176,2022,MT
questao_179,2022,MT
questao_01,2023,LC
questao_02,2023,LC
questao_05,2023,LC
questao_06,2023,LC
questao_08,2023,LC
questao_09,2023,LC
questao_10,2023,LC
questao_11,2023,LC
questao_12,2023,LC
questao_13,2023,LC
questao_14,2023,LC
questao_15,2023,LC
questao_16,2023,LC
questao_17,2023,LC
questao_20,2023,LC
questao_21,2023,LC
questao_22,2023,LC
questao_23,2023,LC
questao_24,2023,LC
questao_25,2023,LC
questao_26,2023,LC
questao_27,2023,LC
questao_28,2023,LC
questao_30,2023,LC
questao_31,2023,LC
questao_32,2023,LC
questao_33,2023,LC
questao_34,2023,LC
questao_35,2023,LC
questao_36,2023,LC
questao_37,2023,LC
questao_38,2023,LC
questao_39,2023,LC
questao_40,2023,LC
questao_41,2023,LC
questao_42,2023,LC
questao_43,2023,LC
questao_44,2023,LC
questao_45,2023,LC
questao_46,2023,CH
questao_47,2023,CH
questao_48,2023,CH
questao_49,2023,CH
questao_50,2023,CH
questao_51,2023,CH
questao_52,2023,CH
questao_55,2023,CH
questao_56,2023,CH
questao_57,2023,CH
questao_58,2023,CH
questao_60,2023,CH
questao_61,2023,CH
questao_62,2023,CH
questao_63,2023,CH
questao_64,2023,CH
questao_65,2023,CH
questao_67,2023,CH
questao_68,2023,CH
questao_69,2023,CH
questao_70,2023,CH
questao_71,2023,CH
questao_72,2023,CH
questao_73,2023,CH
questao_74,2023,CH
questao_75,2023,CH
questao_76,2023,CH
questao_77,2023,CH
questao_78,2023,CH
questao_79,2023,CH
questao_80,2023,CH
questao_81,2023,CH
questao_83,2023,CH
questao_84,2023,CH
questao_85,2023,CH
questao_87,2023,CH
questao_88,2023,CH
questao_89,2023,CH
questao_90,2023,CH
questao_91,2023,CN
questao_93,2023,CN
questao_94,2023,CN
questao_96,2023,CN
questao_99,2023,CN
questao_102,2023,CN
questao_103,2023,CN
questao_105,2023,CN
questao_106,2023,CN
questao_107,2023,CN
questao_110,2023,CN
questao_112,2023,CN
questao_115,2023,CN
questao_116,2023,CN
questao_117,2023,CN
questao_118,2023,CN
questao_119,2023,CN
questao_121,2023,CN
questao_122,2023,CN
questao_123,2023,CN
questao_124,2023,CN
questao_125,2023,CN
questao_126,2023,CN
questao_127,2023,CN
questao_128,2023,CN
questao_129,2023,CN
questao_130,2023,CN
questao_131,2023,CN
questao_132,2023,CN
questao_133,2023,CN
questao_134,2023,CN
questao_135,2023,CN
questao_137,2023,MT
questao_140,2023,MT
questao_145,2023,MT
questao_146,2023,MT
questao_149,2023,MT
questao_151,2023,MT
questao_152,2023,MT
questao_153,2023,MT
questao_155,2023,MT
questao_156,2023,MT
questao_158,2023,MT
questao_160,2023,MT
questao_161,2023,MT
questao_162,2023,MT
questao_163,2023,MT
questao_165,2023,MT
questao_166,2023,MT
questao_167,2023,MT
questao_171,2023,MT
questao_173,2023,MT
questao_174,2023,MT
questao_175,2023,MT
questao_178,2023,MT
questao_180,2023,MT
questao_01,2024,LC
questao_05,2024,LC
questao_06,2024,LC
questao_07,2024,LC
questao_08,2024,LC
questao_09,2024,LC
questao_10,2024,LC
questao_11,2024,LC
questao_13,2024,LC
questao_14,2024,LC
questao_15,2024,LC
questao_17,2024,LC
questao_19,2024,LC
questao_20,2024,LC
questao_21,2024,LC
questao_22,2024,LC
questao_24,2024,LC
questao_25,2024,LC
questao_26,2024,LC
questao_28,2024,LC
questao_29,2024,LC
questao_30,2024,LC
questao_31,2024,LC
questao_32,2024,LC
questao_33,2024,LC
questao_34,2024,LC
questao_35,2024,LC
questao_36,2024,LC
questao_37,2024,LC
questao_38,2024,LC
questao_39,2024,LC
questao_40,2024,LC
questao_41,2024,LC
questao_42,2024,LC
questao_43,2024,LC
questao_44,2024,LC
questao_45,2024,LC
questao_46,2024,CH
questao_47,2024,CH
questao_48,2024,CH
questao_49,2024,CH
questao_50,2024,CH
questao_51,2024,CH
questao_52,2024,CH
questao_53,2024,CH
questao_54,2024,CH
questao_55,2024,CH
questao_56,2024,CH
questao_57,2024,CH
questao_58,2024,CH
questao_59,2024,CH
questao_60,2024,CH
questao_61,2024,CH
questao_62,2024,CH
questao_63,2024,CH
questao_64,2024,CH
questao_65,2024,CH
questao_66,2024,CH
questao_67,2024,CH
